                user     system      total        real
find        9.080000   2.820000  11.900000 ( 12.719397)
Thread ID: 70365856317800
Total: 11.900000

 %self     total     self     wait    child    calls  name
  0.50      1.50     0.06     0.00     1.44    50000  Kernel#__send__(d2) (ruby_runtime:0}
  0.50      0.13     0.06     0.00     0.07    10000  Arel::Where#initialize (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/operations/where.rb:7}
  0.50      0.63     0.06     0.00     0.57    20001  Arel::Sql::Engine#method_missing (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/engine.rb:23}
  0.50      0.17     0.06     0.00     0.11    20010  Array#map (ruby_runtime:0}
  0.50      0.06     0.06     0.00     0.00    10000  Arel::Relation::DefaultOperations#locked (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/relation.rb:132}
  0.42      0.23     0.05     0.00     0.18    20000  Arel::Compound#wheres (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:17}
  0.42      0.06     0.05     0.00     0.01    10000  ActiveRecord::Base#_run_find_callbacks (/home/miles/c/rails/activesupport/lib/active_support/callbacks.rb:396}
  0.42      0.57     0.05     0.00     0.52    40004  <Class::ActiveRecord::Base>#retrieve_connection (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/abstract/connection_specification.rb:96}
  0.42      0.44     0.05     0.00     0.39    10002  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#result_as_array (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:431}
  0.42      0.09     0.05     0.00     0.04    30011  Kernel#dup (ruby_runtime:0}
  0.42      0.05     0.05     0.00     0.00   230015  <Class::Object>#allocate (ruby_runtime:0}
  0.42      0.05     0.05     0.00     0.00    10000  Arel::SqlCompiler::GenericCompiler#initialize (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/relations/compiler.rb:6}
  0.42      0.25     0.05     0.00     0.20    10000  <Class::ActiveRecord::Base>#instantiate (/home/miles/c/rails/activerecord/lib/active_record/base.rb:854}
  0.42      0.14     0.05     0.00     0.09    20000  Arel::ObjectExtensions#bind (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/core_extensions/object.rb:3}
  0.42      0.23     0.05     0.00     0.18    10000  Arel::Sql::Christener#name_for (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/christener.rb:4}
  0.42      0.05     0.05     0.00     0.00    40028  <Class::Time>#allocate (ruby_runtime:0}
  0.42      0.05     0.05     0.00     0.00    10000  Array#- (ruby_runtime:0}
  0.42      0.88     0.05     0.00     0.83    10025  ActiveSupport::Notifications::Fanout::Subscriber#publish (/home/miles/c/rails/activesupport/lib/active_support/notifications/fanout.rb:62}
  0.42      0.05     0.05     0.00     0.00    40008  Fixnum#to_s (ruby_runtime:0}
  0.42     11.57     0.05     0.00    11.52    10007  Kernel#__send__ (ruby_runtime:0}
  0.42      0.17     0.05     0.00     0.12    10000  <Class::ActiveRecord::Base>#scoped_methods (/home/miles/c/rails/activerecord/lib/active_record/base.rb:839}
  0.42      0.17     0.05     0.00     0.12    20000  Arel::Header#each (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/header.rb:12}
  0.34      0.08     0.04     0.00     0.04    10000  Arel::Compound#havings(d2) (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:17}
  0.34      0.04     0.04     0.00     0.00    10007  String#squeeze (ruby_runtime:0}
  0.34      0.04     0.04     0.00     0.00    10025  Regexp#=~ (ruby_runtime:0}
  0.34      0.04     0.04     0.00     0.00    40000  Array#join (ruby_runtime:0}
  0.34      0.06     0.04     0.00     0.02    10007  <Module::ActiveSupport::Notifications>#instrumenter (/home/miles/c/rails/activesupport/lib/active_support/notifications.rb:53}
  0.34      0.35     0.04     0.00     0.31    10000  Arel::Relation::Operable#project (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/relation.rb:47}
  0.34      0.25     0.04     0.00     0.21    10000  ActiveSupport::Inflector#constantize (/home/miles/c/rails/activesupport/lib/active_support/inflector/methods.rb:97}
  0.34      1.37     0.04     0.00     1.33    10000  Arel::Compound#table_sql(d1) (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/relations/utilities/compound.rb:2}
  0.34      0.13     0.04     0.00     0.09    40026  Hash#default (ruby_runtime:0}
  0.34      0.10     0.04     0.00     0.06    30000  Arel::Value#bind (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/value.rb:6}
  0.34      0.33     0.04     0.00     0.29    10001  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#quote_table_name (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:343}
  0.34      1.52     0.04     0.00     1.48    10000  ActiveRecord::SpawnMethods#apply_finder_options (/home/miles/c/rails/activerecord/lib/active_record/relation/spawn_methods.rb:77}
  0.34      0.14     0.04     0.00     0.10    10000  Arel::Compound#locked (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:5}
  0.34      0.04     0.04     0.00     0.00    40000  Arel::Sql::Formatter#initialize (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/formatters.rb:9}
  0.34      1.27     0.04     0.00     1.23    10000  Arel::Recursion::BaseCase#table_sql (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/relations/utilities/recursion.rb:8}
  0.34      0.04     0.04     0.00     0.00    90011  Array#<< (ruby_runtime:0}
  0.25      0.06     0.03     0.00     0.03    10001  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#quote_column_name (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:355}
  0.25      0.28     0.03     0.00     0.25    40002  Class#new(d1) (ruby_runtime:0}
  0.25      2.79     0.03     0.00     2.76    10000  ActiveRecord::ConnectionAdapters::DatabaseStatements#select_all (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/abstract/database_statements.rb:6}
  0.25      0.12     0.03     0.00     0.09    10000  Arel::Compound#havings (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:17}
  0.25      0.13     0.03     0.00     0.10    40004  ActiveRecord::ConnectionAdapters::ConnectionPool#connection (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/abstract/connection_pool.rb:95}
  0.25      4.74     0.03     0.00     4.71    10000  Arel::Relation#to_sql (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/relations/relation.rb:13}
  0.25      0.03     0.03     0.00     0.00    30002  Module#const_defined? (ruby_runtime:0}
  0.25      0.03     0.03     0.00     0.00    90011  Array#[] (ruby_runtime:0}
  0.25     10.65     0.03     0.00    10.62    20007  Kernel#send (ruby_runtime:0}
  0.25      2.17     0.03     0.00     2.14    10005  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#execute (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:486}
  0.25      0.12     0.03     0.00     0.09    20000  Kernel#tap (ruby_runtime:0}
  0.25      0.08     0.03     0.00     0.05    40028  <Class::Time>#now (ruby_runtime:0}
  0.25      0.06     0.03     0.00     0.03    10000  Arel::Compound#groupings(d1) (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:17}
  0.25      0.18     0.03     0.00     0.15    10000  Arel::Sql::Formatter#engine (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/formatters.rb:4}
  0.25      0.05     0.03     0.00     0.02    10000  <Class::ActiveRecord::Base>#relation (/home/miles/c/rails/activerecord/lib/active_record/base.rb:846}
  0.25      0.34     0.03     0.00     0.31    10000  Arel::Relation::Operable#where (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/relation.rb:47}
  0.25      9.94     0.03     0.00     9.91    10000  ActiveRecord::FinderMethods#find(d1) (/home/miles/c/rails/activerecord/lib/active_record/relation/finder_methods.rb:90}
  0.25      0.03     0.03     0.00     0.00    40001  Array#+ (ruby_runtime:0}
  0.25      1.37     0.03     0.00     1.34    50000  Kernel#__send__(d3) (ruby_runtime:0}
  0.25      0.03     0.03     0.00     0.00    30022  <Class::ActiveRecord::Base>#logger (/home/miles/c/rails/activesupport/lib/active_support/core_ext/class/attribute_accessors.rb:20}
  0.25      0.03     0.03     0.00     0.00    20000  Hash#blank? (ruby_runtime:0}
  0.25      0.09     0.03     0.00     0.06    10007  Time#- (/home/miles/c/rails/activesupport/lib/active_support/core_ext/time/calculations.rb:266}
  0.25      2.64     0.03     0.00     2.61    10000  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#select_raw (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:972}
  0.25      0.03     0.03     0.00     0.00    10000  Arel::Relation::DefaultOperations#havings (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/relation.rb:127}
  0.25      0.11     0.03     0.00     0.08    10000  Arel::Compound#skipped (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:5}
  0.25      0.05     0.03     0.00     0.02    10007  Time#minus_without_coercion (/home/miles/c/rails/activesupport/lib/active_support/core_ext/time/calculations.rb:253}
  0.25      0.10     0.03     0.00     0.07    40000  ActiveRecord::Relation#initialize_copy (/home/miles/c/rails/activerecord/lib/active_record/relation.rb:34}
  0.25      0.03     0.03     0.00     0.00    10000  String#count (ruby_runtime:0}
  0.25      0.03     0.03     0.00     0.00    85028  Kernel#is_a? (ruby_runtime:0}
  0.25      0.06     0.03     0.00     0.03    40005  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/abstract/connection_pool.rb:231}
  0.25      0.60     0.03     0.00     0.57    40004  <Class::ActiveRecord::Base>#connection (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/abstract/connection_specification.rb:88}
  0.25      0.06     0.03     0.00     0.03    10000  Arel::Compound#sources(d1) (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:5}
  0.25      0.03     0.03     0.00     0.00    50008  <Class::Hash>#allocate (ruby_runtime:0}
  0.17      0.93     0.02     0.00     0.91    10007  ActiveSupport::Notifications::Notifier#publish (/home/miles/c/rails/activesupport/lib/active_support/notifications.rb:63}
  0.17      0.38     0.02     0.00     0.36    10000  ActiveRecord::QueryMethods#build_select (/home/miles/c/rails/activerecord/lib/active_record/relation/query_methods.rb:228}
  0.17      0.02     0.02     0.00     0.00    30070  String#to_s (ruby_runtime:0}
  0.17      0.03     0.02     0.00     0.01    10007  ActiveSupport::BufferedLogger#add (/home/miles/c/rails/activesupport/lib/active_support/buffered_logger.rb:59}
  0.17      0.04     0.02     0.00     0.02    10000  Arel::Where#wheres (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/operations/where.rb:13}
  0.17      0.02     0.02     0.00     0.00    40008  Fixnum#> (ruby_runtime:0}
  0.17      0.02     0.02     0.00     0.00    20002  String#length (ruby_runtime:0}
  0.17      0.12     0.02     0.00     0.10    10000  Arel::Project#initialize (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/operations/project.rb:6}
  0.17      0.02     0.02     0.00     0.00    10000  <Class::ActiveRecord::Base>#inheritance_column (/home/miles/c/rails/activerecord/lib/active_record/base.rb:566}
  0.17      0.02     0.02     0.00     0.00   100007  Kernel#class (ruby_runtime:0}
  0.17      0.02     0.02     0.00     0.00    80022  Kernel#instance_variable_set (ruby_runtime:0}
  0.17     11.87     0.02     0.00    11.85    10000  <Class::ActiveRecord::Base>#find (/home/miles/c/rails/activerecord/lib/active_record/base.rb:398}
  0.17      0.02     0.02     0.00     0.00    10001  String#empty? (ruby_runtime:0}
  0.17      0.05     0.02     0.00     0.03    10007  ActiveSupport::Notifications::Event#initialize (/home/miles/c/rails/activesupport/lib/active_support/notifications/instrumenter.rb:38}
  0.17      0.02     0.02     0.00     0.00    70027  Array#first (ruby_runtime:0}
  0.17      3.35     0.02     0.00     3.33    10000  <Class::ActiveRecord::Base>#find_by_sql (/home/miles/c/rails/activerecord/lib/active_record/base.rb:426}
  0.17      0.04     0.02     0.00     0.02    10000  Arel::Compound#skipped(d2) (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:5}
